stationame,1,2,3,4,5,6,7,8,9,10,11,12
Morgan-Lake,0.132349761,0.127951105,-0.497416225,-0.926921683,-0.931299347,-0.887129509,-0.805739607,-0.739762833,-0.683883678,,,
Morse,-0.018309633,-0.034451053,-0.440603235,-0.828831987,-0.833352668,-0.792420738,-0.708492709,-0.580575383,-0.571761068,,,
North/Clybourn,-0.015253081,-0.07466863,-0.512688891,-0.900231748,-0.912872653,-0.873491643,-0.793797035,-0.719926835,-0.683293056,,,
Noyes,-0.032527825,-0.066892956,-0.538930502,-0.937612049,-0.93996757,-0.900918255,-0.863804891,-0.768840554,-0.742791862,,,
O'Hare Airport,-0.023889668,-0.067595667,-0.450593988,-0.837870824,-0.869361025,-0.836334678,-0.788478157,-0.69397554,-0.650698098,,,
Oak Park-Forest Park,-0.0151024,-0.063677563,-0.498707951,-0.907205118,-0.912500559,-0.884294521,-0.836791918,-0.78670141,-0.760203799,,,
Oak Park-Lake,0.017032913,-0.01469255,-0.519957346,-0.917679996,-0.916033251,-0.880496538,-0.817595081,-0.748658097,-0.721555185,,,
Oakton-Skokie,0.003634087,-0.041992693,-0.470642675,-0.847300812,-0.843880258,-0.817366933,-0.789788835,-0.730178054,-0.714823574,,,
Paulina,0.087461755,0.044818403,-0.508340159,-0.918052952,-0.922503559,-0.882039278,-0.749279395,-0.757669337,-0.721930333,,,
Polk,0.109308949,0.035805225,-0.424123672,-0.849647464,-0.846771389,-0.776478334,-0.657294691,-0.552879786,-0.508909978,,,
Pulaski-Cermak,0.113714195,0.017806544,-0.28147912,-0.654040764,-0.706169693,-0.642016634,-0.476263088,-0.284196627,-0.284302314,,,
Pulaski-Forest Park,0.085107252,0.054154407,-0.16338697,-0.527411871,-0.602371461,-0.548220135,-0.399303025,-0.199924286,-0.163569721,,,
Pulaski-Lake,0.119229625,0.074946381,-0.246569052,-0.564813753,-0.641910444,-0.599355446,-0.441755354,-0.151190568,-0.210511558,,,
